Urtea,Hilabetea,Estazioa,Erabiltzaile_Kopurua,Ibilbide_Kopurua,Batez_Besteko_Iraupena
2018,3,Magisterio,336,1.192,"13,31"
2018,3,Isabel II,336,1.167,"11,67"
2018,3,Anoeta,209,574,"14,62"
2018,3,Intxaurrondo,194,1.090,"16,31"
2018,3,Riberas,170,924,"18,94"
2018,3,Lugaritz,113,268,"44,80"
2018,4,Ayuntamiento,762,2.535,"22,10"
2018,4,Paseo Francia,581,2.311,"9,95"
2018,4,Plaza Cataluña,572,2.207,"15,06"
2018,4,Arrasate,495,1.517,"43,69"
2018,4,Easo,476,1.824,"11,49"
2018,4,Pio XII,454,1.784,"9,06"
2018,4,Av. Zarautz,454,1.508,"12,78"
2018,4,Andia,451,1.462,"17,40"
2018,4,Universidades,422,1.567,"16,10"
2018,4,San Francisco,405,1.369,"12,37"
2018,4,Magisterio,386,1.267,"13,28"
2018,4,Isabel II,339,1.283,"13,33"
2018,4,Anoeta,271,687,"14,32"
2018,4,Intxaurrondo,216,1.263,"13,34"
2018,4,Riberas,187,989,"13,38"
2018,4,Lugaritz,127,356,"15,38"
2018,5,Ayuntamiento,825,3.237,"18,08"
2018,5,Paseo Francia,628,2.749,"16,51"
2018,5,Plaza Cataluña,592,2.698,"12,97"
2018,5,Andia,562,1.980,"18,06"
2018,5,Arrasate,560,1.725,"19,38"
2018,5,Easo,543,2.374,"10,27"
2018,5,Pio XII,498,2.132,"11,33"
2018,5,Av. Zarautz,498,1.836,"14,57"
2018,5,Universidades,465,2.134,"15,52"
2018,5,San Francisco,431,1.716,"15,45"
2018,5,Magisterio,422,1.669,"13,68"
2018,5,Isabel II,376,1.708,"12,40"
2018,5,Anoeta,250,720,"16,08"
2018,5,Intxaurrondo,214,1.585,"15,87"
2018,5,Riberas,195,1.159,"11,16"
2018,5,Lugaritz,152,445,"12,73"
2018,6,Ayuntamiento,908,3.058,"24,96"
2018,6,Plaza Cataluña,692,2.856,"14,46"
2018,6,Paseo Francia,657,2.509,"10,80"
2018,6,Andia,620,1.846,"14,45"
2018,6,Arrasate,606,1.777,"14,65"
2018,6,Easo,568,2.114,"10,53"
2018,6,Av. Zarautz,502,1.727,"18,79"
2018,6,Pio XII,486,1.643,"11,05"
2018,6,Universidades,476,1.731,"14,19"
2018,6,San Francisco,446,1.541,"14,12"
2018,6,Magisterio,419,1.336,"15,16"
2018,6,Isabel II,375,1.533,"12,53"
2018,6,Anoeta,242,649,"20,78"
2018,6,Intxaurrondo,225,1.435,"12,79"
2018,6,Riberas,198,1.044,"12,48"
2018,6,Lugaritz,176,586,"37,42"
2018,7,Ayuntamiento,860,2.726,"27,12"
2018,7,Plaza Cataluña,627,2.310,"16,88"
2018,7,Paseo Francia,601,1.987,"11,25"
2018,7,Andia,588,1.493,"14,99"
2018,7,Arrasate,579,1.429,"29,37"
2018,7,Easo,499,1.695,"28,85"
2018,7,Av. Zarautz,429,1.349,"17,61"
2018,7,Pio XII,427,1.270,"16,50"
2018,7,San Francisco,424,1.335,"17,68"
2018,7,Universidades,403,1.096,"18,07"
2018,7,Magisterio,387,996,"23,32"
2018,7,Isabel II,319,1.100,"13,68"
2018,7,Intxaurrondo,213,1.278,"14,26"
2018,7,Anoeta,192,458,"52,66"
2018,7,Lugaritz,174,504,"22,96"
2018,7,Riberas,171,881,"12,05"
2018,8,Ayuntamiento,600,1.490,"28,60"
2018,8,Andia,546,1.282,"20,41"
2018,8,Plaza Cataluña,518,1.633,"29,52"
2018,8,Paseo Francia,475,1.322,"39,77"
2018,8,Arrasate,456,1.091,"32,40"
2018,8,Easo,395,1.288,"18,91"
2018,8,Av. Zarautz,351,904,"30,73"
2018,8,Pio XII,338,1.008,"14,85"
2018,8,San Francisco,338,909,"17,59"
2018,8,Isabel II,269,890,"12,31"
2018,8,Magisterio,260,560,"45,66"
2018,8,Universidades,251,655,"28,86"
2018,8,Intxaurrondo,186,817,"30,44"
2018,8,Anoeta,153,336,"16,96"
2018,8,Lugaritz,129,377,"42,16"
2018,8,Riberas,126,578,"11,92"
