Port,Average_duration,NombreParaURI,Station,Month,Number_of_routes,Year,MonthText,Localizacion,Environment,Users_quantity
8080,40,Ayuntamiento,Ayuntamiento,1,"1,800",2015,JANUARY,San-Sebastian,localhost,511
8080,51,Andia,Andia,1,985,2015,JANUARY,San-Sebastian,localhost,398
8080,54,Pio-XII,Pio XII,1,"1,239",2015,JANUARY,San-Sebastian,localhost,394
8080,40,Plaza-Catalu̱a,Plaza Catalu̱a,1,"1,304",2015,JANUARY,San-Sebastian,localhost,362
8080,36,Easo,Easo,1,"1,357",2015,JANUARY,San-Sebastian,localhost,344
8080,55,Universidades,Universidades,1,"1,056",2015,JANUARY,San-Sebastian,localhost,301
8080,52,Av--Zarautz,Av. Zarautz,1,927,2015,JANUARY,San-Sebastian,localhost,296
8080,57,Arrasate,Arrasate,1,756,2015,JANUARY,San-Sebastian,localhost,294
8080,45,Paseo-Francia,Paseo Francia,1,787,2015,JANUARY,San-Sebastian,localhost,273
8080,33,Magisterio,Magisterio,1,861,2015,JANUARY,San-Sebastian,localhost,257
8080,32,San-Francisco,San Francisco,1,799,2015,JANUARY,San-Sebastian,localhost,237
8080,48,Anoeta,Anoeta,1,445,2015,JANUARY,San-Sebastian,localhost,196
8080,37,Isabel-II,Isabel II,1,611,2015,JANUARY,San-Sebastian,localhost,178
8080,42,Lugaritz,Lugaritz,1,483,2015,JANUARY,San-Sebastian,localhost,147
8080,44,Riberas,Riberas,1,340,2015,JANUARY,San-Sebastian,localhost,78
8080,51,Intxaurrondo,Intxaurrondo,1,324,2015,JANUARY,San-Sebastian,localhost,71
8080,50,Ayuntamiento,Ayuntamiento,2,"1,297",2015,FEBRUARY,San-Sebastian,localhost,424
8080,52,Pio-XII,Pio XII,2,"1,025",2015,FEBRUARY,San-Sebastian,localhost,339
8080,56,Plaza-Catalu̱a,Plaza Catalu̱a,2,868,2015,FEBRUARY,San-Sebastian,localhost,308
8080,53,Andia,Andia,2,729,2015,FEBRUARY,San-Sebastian,localhost,300
